Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,191,Croatia,5608,Import Quantity,2111,Cattle,2021,2021,Head,168185,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2006,2006,1000 US$,88126,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2007,2007,1000 US$,86958,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2008,2008,1000 US$,106619,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2009,2009,1000 US$,89080,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2010,2010,1000 US$,87283,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2011,2011,1000 US$,113567,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2012,2012,1000 US$,80904,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2013,2013,1000 US$,66595,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2014,2014,1000 US$,70075,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2015,2015,1000 US$,67498,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2016,2016,1000 US$,64629,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2017,2017,1000 US$,84105,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2018,2018,1000 US$,88033,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2019,2019,1000 US$,92644,A,Official figure,HR
TCL,Crops and livestock products,191,Croatia,5622,Import Value,2111,Cattle,2020,2020,1000 US$,90057,A,Official figure,HR
